时间,Milkey Tan(DOH),亚托莉(DOQ),亚托莉(DOT),亚托莉(DOH-d),亚托莉(DOH-api),MPO women's clothing(DOQ),MPO women's clothing(DOT),MPO women's clothing(DOH/3),OolongTea(DOH),龙猫 totoro625(DOH),winter(DOH),夏·祈·枫(DOQ),夏·祈·枫(DOT),夏·祈·枫(DOH-IP),夏·祈·枫(DOH),夏·祈·枫(DOH-CDN-1),夏·祈·枫(DOH-CDN-2),🐱(DOQ),🐱(DOT),🐱(DOH/3),MapleCool(UDP),WoadZS赞助加速(UDP),比拉乌拉赞助加速(UDP),张 果果(DOH/3),张 果果(DOQ),张 果果(DOT)
2024-07-06 01:44:43,29,2000,57,168,60,179,197,258,246,176,257,173,301,298,276,599,1054,1040,1109,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:47:34,23,2000,56,58,101,174,162,180,204,170,176,217,224,225,223,601,1019,1049,1069,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:48:10,70,63,251,2000,220,133,305,244,231,258,324,305,320,338,329,620,628,1138,1099,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:50:59,22,2000,57,64,101,150,161,189,176,176,181,263,325,332,329,667,1124,1134,2000,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:51:35,2000,122,26,66,53,194,321,329,246,256,334,314,306,215,210,611,692,1056,1102,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:52:10,24,2000,59,56,108,141,108,138,192,181,167,216,227,224,381,550,570,1048,1075,2000,2000,2000,2000,2000,2000,2000
2024-07-06 01:52:46,25,2000,57,66,211,154,218,251,213,326,285,314,214,345,176,582,751,1048,1056,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:01:51,42,50,53,2000,142,170,158,215,180,182,225,234,242,249,233,655,786,1109,2000,1250,2000,2000,2000,2000,2000,2000
2024-07-06 02:02:26,30,101,2000,60,57,215,261,240,255,223,296,307,332,214,187,650,629,1064,1100,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:03:01,24,2000,53,51,201,159,194,158,182,168,191,186,225,229,252,552,608,1072,1081,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:03:36,2000,27,62,67,117,162,136,148,151,229,189,219,164,250,247,560,576,1059,1082,2000,2000,2000,2000,2000,2000,2000
2024-07-06 02:04:11,33,74,2000,70,288,283,387,306,278,398,348,383,275,406,240,647,931,1129,1143,2000,2000,2000,2000,2000,2000,2000
